inventory_id,master_row_type,url,source_role,purpose_jobs,active_source_keys,current_usability,why_not_currently_usable,last_fetch_state,http_status,resolved_url,fetch_explanation,safe_use,next_action,connection_status,parser_status,freshness_status,data_date,record_count,screener_integration,current_gate_state,evidence_source_url,status_as_of,master_canonical_url,master_placeholder_flag,master_evidence_note,source_file,source_csv_excel_row
1,CURRENT_INVENTORY,http://127.0.0.1:8001,LOCAL_APPLICATION,OPERATIONS,,LOCAL_OPERATION_ONLY,"Local application/API route, not an external market-data source.",LOCAL_APPLICATION,,http://127.0.0.1:8001,Local application route; not an external market-data fetch.,"Local route for application operation and verification, not market evidence.",DO_NOT_TREAT_AS_MARKET_EVIDENCE,LOCAL_APPLICATION_ONLY,NOT_LINKED,NOT_LINKED,,,OPERATIONS_ONLY,NOT_A_GATE_DEPENDENCY,http://127.0.0.1:8001,2026-07-14,http://127.0.0.1:8001,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,2
2,CURRENT_INVENTORY,http://127.0.0.1:8001/,LOCAL_APPLICATION,OPERATIONS,,LOCAL_OPERATION_ONLY,"Local application/API route, not an external market-data source.",LOCAL_APPLICATION,,http://127.0.0.1:8001/,Local application route; not an external market-data fetch.,"Local route for application operation and verification, not market evidence.",DO_NOT_TREAT_AS_MARKET_EVIDENCE,LOCAL_APPLICATION_ONLY,NOT_LINKED,NOT_LINKED,,,OPERATIONS_ONLY,NOT_A_GATE_DEPENDENCY,http://127.0.0.1:8001/,2026-07-14,http://127.0.0.1:8001,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,3
3,CURRENT_INVENTORY,http://127.0.0.1:8001/api/health,LOCAL_APPLICATION,OPERATIONS,,LOCAL_OPERATION_ONLY,"Local application/API route, not an external market-data source.",LOCAL_HEALTH_VERIFIED,200,http://127.0.0.1:8001/api/health,Local TrendForge health endpoint returned HTTP 200 in guarded-research mode on 2026-07-14.,"Local route for application operation and verification, not market evidence.",DO_NOT_TREAT_AS_MARKET_EVIDENCE,LOCAL_APPLICATION_ONLY,NOT_LINKED,NOT_LINKED,,,OPERATIONS_ONLY,NOT_A_GATE_DEPENDENCY,http://127.0.0.1:8001/api/health,2026-07-14,http://127.0.0.1:8001/api/health,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,4
4,CURRENT_INVENTORY,https://beta.bseindia.com/corporates/ann.html?utm_source=chatgpt.com,OFFICIAL_OR_PRIMARY,CAUSAL_TRIGGER|SPONSOR_PROOF,bse_corporate_announcements,CONNECTED_FRESH_STRUCTURED,"No connection blocker; normalized evidence remains limited by source cadence, scope and final gate confluence.",bse_corporate_announcements:RAW_ARCHIVED,bse_corporate_announcements:200,bse_corporate_announcements:https://api.bseindia.com/BseIndiaAPI/api/AnnSubCategoryGetData/w,"bse_corporate_announcements: BSE corporate announcements normalized with headline, category, publication time, attachment and raw-row lineage.",Use as corporate catalyst and cross-exchange confirmation; attachment contents still require separate document parsing.,MONITOR_FRESHNESS_SCHEMA_DRIFT_AND_SCOPE,CONNECTED_FRESH_STRUCTURED,bse_corporate_announcements:STRUCTURED_OK,bse_corporate_announcements:FRESH_FOR_DECLARED_CADENCE,bse_corporate_announcements:2026-07-10,bse_corporate_announcements:5,RESEARCH_CONTEXT_ONLY,NOT_A_GATE_DEPENDENCY,bse_corporate_announcements:https://api.bseindia.com/BseIndiaAPI/api/AnnSubCategoryGetData/w,2026-07-14,https://beta.bseindia.com/corporates/ann.html,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,5
5,CURRENT_INVENTORY,https://beta.bseindia.com/corporates/Pledge_new.aspx?utm_source=chatgpt.com,OFFICIAL_OR_PRIMARY,SPONSOR_PROOF,bse_pledge_data,CONNECTED_FRESH_STRUCTURED,"No connection blocker; normalized evidence remains limited by source cadence, scope and final gate confluence.",bse_pledge_data:RAW_ARCHIVED,bse_pledge_data:200,bse_pledge_data:https://api.bseindia.com/BseIndiaAPI/api/GetCorpPledgeShareholding_ng/w,"bse_pledge_data: BSE promoter pledge snapshots normalized with promoter holding, pledged shares and pledge percentages.",Use as delayed promoter-risk and swing context; never treat a quarterly snapshot as intraday flow.,MONITOR_FRESHNESS_SCHEMA_DRIFT_AND_SCOPE,CONNECTED_FRESH_STRUCTURED,bse_pledge_data:STRUCTURED_OK,bse_pledge_data:FRESH_FOR_DECLARED_CADENCE,bse_pledge_data:2026-07-13,bse_pledge_data:1242,RESEARCH_CONTEXT_ONLY,NOT_A_GATE_DEPENDENCY,bse_pledge_data:https://api.bseindia.com/BseIndiaAPI/api/GetCorpPledgeShareholding_ng/w,2026-07-14,https://beta.bseindia.com/corporates/Pledge_new.aspx,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,6
6,CURRENT_INVENTORY,https://beta.bseindia.com/corporates/Regulation_7.aspx?utm_source=chatgpt.com,OFFICIAL_OR_PRIMARY,CAUSAL_TRIGGER|SPONSOR_PROOF,bse_insider_trading,CONNECTED_EMPTY_NO_SIGNAL,The old beta URL is obsolete; the current BSE InsiderTrade15 API is connected but returned no rows for the tested range.,NO_DATA_NOW,,https://beta.bseindia.com/corporates/Regulation_7.aspx?utm_source=chatgpt.com,The old beta URL is obsolete; the current BSE InsiderTrade15 API is connected but returned no rows for the tested range.,"Raw exchange response is research-only until schema, source date, freshness, revisions and scope are validated.",BUILD_SOURCE_SPECIFIC_NORMALIZER_AND_FRESHNESS_TESTS,CONNECTED_EMPTY_NO_SIGNAL,PARSED_EMPTY,UNKNOWN,,,NOT_CONNECTED,WAIT_NO_DATA_NOW,https://beta.bseindia.com/corporates/Regulation_7.aspx?utm_source=chatgpt.com,2026-07-14,https://beta.bseindia.com/corporates/Regulation_7.aspx,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,7
7,CURRENT_INVENTORY,https://beta.bseindia.com/markets/equity/EQReports/bulk_deals.aspx?utm_source=chatgpt.com,OFFICIAL_OR_PRIMARY,CAUSAL_TRIGGER|SPONSOR_PROOF,,HTML_SCHEMA_PENDING,Official/primary URL is inventoried but has not been converted into a verified artifact contract.,HTML_STRUCTURED_CANDIDATE,200,https://beta.bseindia.com/markets/equity/EQReports/bulk_deals.aspx?utm_source=chatgpt.com,HTML contains structured rows but semantics/date schema are not verified.,Official or primary landing/data source; URL presence alone cannot unlock READY.,Implement source-specific deterministic HTML/embedded-JSON parser.,HTML_SCHEMA_PENDING,NOT_LINKED,NOT_LINKED,,,NOT_CONNECTED,NOT_A_GATE_DEPENDENCY,https://beta.bseindia.com/markets/equity/EQReports/bulk_deals.aspx?utm_source=chatgpt.com,2026-07-14,https://beta.bseindia.com/markets/equity/EQReports/bulk_deals.aspx,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,8
8,CURRENT_INVENTORY,https://beta.bseindia.com/static/markets/equity/EQReports/tra_Block_Deals.aspx?utm_source=chatgpt.com,OFFICIAL_OR_PRIMARY,CAUSAL_TRIGGER|SPONSOR_PROOF,bse_block_deals,CONNECTED_FRESH_STRUCTURED,Fresh BSE block-deal structured rows were fetched and normalized by the 13-source scanner parser run on 2026-07-16.,bse_block_deals:RAW_ARCHIVED,bse_block_deals:200,https://api.bseindia.com/BseIndiaAPI/api/BulkDealData_ng/w?DealType=2,BSE block-deal endpoint returned 46 rows in the scanner parser verification run.,Use as dated named-client block-deal evidence; still requires price acceptance and other gates before READY.,MONITOR_FRESHNESS_SCHEMA_DRIFT_AND_SCOPE,CONNECTED_FRESH_STRUCTURED,bse_block_deals:STRUCTURED_OK,bse_block_deals:FRESH_FOR_DECLARED_CADENCE,bse_block_deals:2026-07-16,bse_block_deals:46,RESEARCH_CONTEXT_ONLY,NOT_A_GATE_DEPENDENCY,https://api.bseindia.com/BseIndiaAPI/api/BulkDealData_ng/w?DealType=2,2026-07-16,https://beta.bseindia.com/static/markets/equity/EQReports/tra_Block_Deals.aspx,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,9
9,CURRENT_INVENTORY,https://beta.bseindia.com/static/markets/equity/EQReports/tra_Bulk_Deals.aspx?utm_source=chatgpt.com,OFFICIAL_OR_PRIMARY,CAUSAL_TRIGGER|SPONSOR_PROOF,,METADATA_ONLY,Official/primary URL is inventoried but has not been converted into a verified artifact contract.,HTML_METADATA_ONLY,200,https://beta.bseindia.com/static/markets/equity/EQReports/tra_Bulk_Deals.aspx?utm_source=chatgpt.com,No verified row-level payload contract.,Official or primary landing/data source; URL presence alone cannot unlock READY.,Discover official API/file contract or retain as reference only.,METADATA_ONLY,NOT_LINKED,NOT_LINKED,,,NOT_CONNECTED,NOT_A_GATE_DEPENDENCY,https://beta.bseindia.com/static/markets/equity/EQReports/tra_Bulk_Deals.aspx?utm_source=chatgpt.com,2026-07-14,https://beta.bseindia.com/static/markets/equity/EQReports/tra_Bulk_Deals.aspx,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,10
10,CURRENT_INVENTORY,https://bakerhughesrigcount.gcs-web.com/rig-count-overview,OFFICIAL_OR_PRIMARY,CAUSAL_TRIGGER|FLOW_CONFIRMATION,baker_hughes_na_rig_count,CONNECTED_STALE_STRUCTURED,"Official workbook was normalized successfully, but the fresh request timed out and the latest validated artifact is a stale fallback.",baker_hughes_na_rig_count:STALE_FALLBACK,,https://bakerhughesrigcount.gcs-web.com/static-files/8d1bb7cd-5d69-41dc-86c5-12d1d5519692,"Normalized official NAM Summary: 760 North America rigs, weekly change -10, data date 2026-07-10. Fresh request timed out.",Delayed crude supply context only; stale fallback cannot confirm a current trade.,RETRY_OFFICIAL_WORKBOOK_AND_KEEP_STALE_VISIBLE,CONNECTED_STALE_STRUCTURED,baker_hughes_na_rig_count:STALE_FALLBACK,baker_hughes_na_rig_count:STALE_FALLBACK,baker_hughes_na_rig_count:2026-07-10,baker_hughes_na_rig_count:1,MCX_RESEARCH_CONTEXT,baker_hughes_na_rig_count:WAIT_STALE_DATA,https://bakerhughesrigcount.gcs-web.com/static-files/8d1bb7cd-5d69-41dc-86c5-12d1d5519692,2026-07-15,https://bakerhughesrigcount.gcs-web.com/rig-count-overview,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,11
