route_id,file,item,required_output,resolution_owner,state,evidence_or_gate,notes
F1-01,1,1,CFTC COT positions and sentiment,cftc_cot,POPULATED,96 parsed rows 2026-07-28,Official weekly positioning context
F1-02,1,2,NSE FII DII cash buy sell net,nse_fii_dii,POPULATED,2 parsed rows 2026-08-06,Official cash flow
F1-03,1,3,NSE participant open interest,nse_participant_oi,POPULATED,4 parsed rows 2026-08-06,Official participant categories
F1-04,1,4,NSE FII derivatives activity,nse_fii_derivatives_stats,POPULATED,18 parsed rows 2026-08-06,Official derivatives statistics
F1-05,1,5,BSE participant open interest,bse_participant_oi,POPULATED,4 parsed rows 2026-08-10,Official BSE participant categories
F1-06,1,6,BSE FII DII cash activity,bse_fii_dii,POPULATED,2 parsed rows 2026-08-10,Official BSE cash activity
F1-07,1,7,Third-exchange participant OI context,nse_participant_oi|bse_participant_oi,OUTPUT_EQUIVALENT_POPULATED,NSE and BSE participant OI both populated,Exact MSE workbook remains unreachable and is not fabricated
F1-08,1,8,MCX warehouse and delivery context,mcx_warehouse_stocks|mcx_delivery_reports,POPULATED,24 plus 24 parsed rows 2026-08-06,Official delayed commodity context
F2-01,2,1,NSDL FPI sector holdings,nsdl_fpi_fortnightly,OUTPUT_EQUIVALENT_POPULATED,48 parsed rows 2026-07-31,Existing key reuses exact bytes and rows
F2-02,2,2,AMFI monthly category AUM,amfi_monthly_aum,POPULATED,61 parsed rows 2026-06-30,Official AMFI workbook
F2-03,2,3,Real Baltic Dry Index,tradingeconomics_bdi,POPULATED,1 parsed row 2026-08-10,Approved third-party BDI page and zero-score
F2-04,2,4,Dry-bulk market proxy history,yahoo_bdry_shipping_proxy,POPULATED,251 parsed bars 2026-08-10,BDRY is labelled ETF proxy and never BDI
F2-05,2,5,Current India search trends,google_trends_india_rss,POPULATED,10 parsed items 2026-08-10,RSS topics replace unreliable pytrends but do not claim keyword history
F2-06,2,6,LME prices and aggregate stocks,lme_warehouse_stocks,POPULATED,918 parsed rows 2026-08-10,Westmetall delayed fallback is visibly third-party
F3-01,3,1,NSE FII DII wrapper output,nse_fii_dii,OUTPUT_EQUIVALENT_POPULATED,2 parsed rows,Reuses official owner
F3-02,3,2,Sector relative strength bull bear output,nse_all_indices|sector_pulse,DERIVED_OUTPUT_EXISTING,Top five bull and bear panel is populated,Exact RRG ratio-momentum history is not claimed as an independent source
F3-03,3,3,CRISIL rating actions,crisil_ratings,POPULATED,100 parsed rows 2026-08-10,Official rating rationales
F3-04,3,4,ICRA rating actions,icra_ratings,POPULATED,20 parsed rows 2026-08-10,Official rating rationales
F3-05,3,5,CARE rating actions,care_ratings,POPULATED,1000 parsed rows 2026-08-10,Official rating rationales
