primary_row_no,source_key,title,canonical_url,source_contract_count,all_contract_urls,proposed_cadence_class,proposed_source_publication_cadence,proposed_etl_refresh_interval,proposed_active_window_ist,proposed_holiday_or_closed_rule,proposed_empty_data_rule,proposed_fetch_group,current_live_panel_code_interval,evidence_status,official_evidence_url,reviewer_correction,reviewer_notes
1,bse_corporate_announcements,BSE Corporate Announcements,https://api.bseindia.com/BseIndiaAPI/api/AnnSubCategoryGetData/w,3,https://api.bseindia.com/BseIndiaAPI/api/AnnSubCategoryGetData/w | https://beta.bseindia.com/corporates/ann.html | https://www.bseindia.com/corporates/ann,EVENT_DRIVEN,Published when a company files; can arrive during or after market hours,10 minutes,08:00-23:30 IST daily,Continue on weekends/holidays at reduced cadence because corporate filings can still appear,No new filings is valid only when schema/date filters are valid; do not erase prior populated history,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
2,bse_order_win_announcements,BSE Order Win Announcements,https://api.bseindia.com/BseIndiaAPI/api/AnnSubCategoryGetData/w?pageno=1&strCat=Company+Update&strPrevDate=%7Bfrom_date%7D&strScrip=&strSearch=P&strToDate=%7Bto_date%7D&strType=C&subcategory=Award+of+Order+%2F+Receipt+of+Order,1,https://api.bseindia.com/BseIndiaAPI/api/AnnSubCategoryGetData/w?pageno=1&strCat=Company+Update&strPrevDate=%7Bfrom_date%7D&strScrip=&strSearch=P&strToDate=%7Bto_date%7D&strType=C&subcategory=Award+of+Order+%2F+Receipt+of+Order,EVENT_DRIVEN,Published when a company files; can arrive during or after market hours,10 minutes,08:00-23:30 IST daily,Continue on weekends/holidays at reduced cadence because corporate filings can still appear,No new filings is valid only when schema/date filters are valid; do not erase prior populated history,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
3,bse_bulk_deals,BSE Bulk Deals,https://api.bseindia.com/BseIndiaAPI/api/BulkDealData_ng/w?DealType=1,2,https://api.bseindia.com/BseIndiaAPI/api/BulkDealData_ng/w?DealType=1 | https://www.bseindia.com/markets/equity/EQReports/bulk_deals.aspx,INTRADAY_EVENT,Event-driven deal rows during the trading day; end-of-day completeness varies,5 minutes,09:15-18:30 IST on exchange trading days,Stop routine polling after the post-close catch-up window; preserve the last dated result as non-live context,Zero deals may be valid; store VALID_EMPTY only when the response schema and requested date are correct,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
4,bse_block_deals,BSE Block Deals,https://api.bseindia.com/BseIndiaAPI/api/BulkDealData_ng/w?DealType=2,3,https://api.bseindia.com/BseIndiaAPI/api/BulkDealData_ng/w?DealType=2 | https://beta.bseindia.com/static/markets/equity/EQReports/tra_Block_Deals.aspx | https://www.bseindia.com/markets/equity/EQReports/block_deals,INTRADAY_EVENT,Event-driven deal rows during the trading day; end-of-day completeness varies,5 minutes,09:15-18:30 IST on exchange trading days,Stop routine polling after the post-close catch-up window; preserve the last dated result as non-live context,Zero deals may be valid; store VALID_EMPTY only when the response schema and requested date are correct,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
5,bse_sast,BSE SAST Disclosures (Substantial Acquisition),https://api.bseindia.com/BseIndiaAPI/api/Corporatesast/w,4,https://api.bseindia.com/BseIndiaAPI/api/Corporatesast/w | https://api.bseindia.com/BseIndiaAPI/api/Corporatesast/w?Isdefault=&Regulation=&ToDate=&fromDT=&scripCode= | https://www.bseindia.com/corporates/corporates-sast | https://www.bseindia.com/corporates/SAST.aspx,EVENT_DRIVEN_SLOW,Published on filing/list update events rather than every market tick,30 minutes,08:00-23:30 IST daily,Use 2-hour polling on weekends/holidays unless an active offer/issue requires the normal interval,Valid-empty is allowed only with correct response schema/date; never convert empty into fresh evidence,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
7,bse_pledge_data,BSE Promoter Pledge & Encumbrance,https://api.bseindia.com/BseIndiaAPI/api/GetCorpPledgeShareholding_ng/w,3,https://api.bseindia.com/BseIndiaAPI/api/GetCorpPledgeShareholding_ng/w | https://beta.bseindia.com/corporates/Pledge_new.aspx | https://www.bseindia.com/corporates/pledge_new.aspx,EVENT_DRIVEN_SLOW,Published on filing/list update events rather than every market tick,30 minutes,08:00-23:30 IST daily,Use 2-hour polling on weekends/holidays unless an active offer/issue requires the normal interval,Valid-empty is allowed only with correct response schema/date; never convert empty into fresh evidence,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
8,nse_large_deals,NSE Large Deals (Bulk & Block),https://archives.nseindia.com/content/equities/bulk.csv,2,https://archives.nseindia.com/content/equities/bulk.csv | https://www.nseindia.com/market-data/large-deals,DAILY_EOD,One official dataset per exchange trading day after market close,15 minutes during release window; stop after same-day file is captured,15:45-22:00 IST on exchange trading days,On holidays/weekends expect the last trading-day file and do not relabel it as today's data,Missing/empty before the release cutoff is WAIT; after cutoff it is MISSING/PARTIAL and must not overwrite last good data,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
12,sge_benchmark_gold,Shanghai Gold Exchange (SGE) Benchmark Gold Price,https://en.sge.com.cn/graph/DayilyJzj,2,https://en.sge.com.cn/graph/DayilyJzj | https://en.sge.com.cn/h5_data_BenchmarkPrice,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,06:00-16:00 IST on Shanghai business days,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
14,nsdl_fpi_daily,NSDL FPI Daily Trend & Net Investments,https://fpi.nsdl.co.in/web/Reports/Latest.aspx,1,https://fpi.nsdl.co.in/web/Reports/Latest.aspx,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,17:00-23:30 IST on Indian business/trading days,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
15,fred_real_yield_10y,FRED 10-Year Real Interest Rate (DFII10),https://fred.stlouisfed.org/graph/fredgraph.csv?id=DFII10,2,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DFII10 | https://fred.stlouisfed.org/series/DFII10,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,06:00-22:00 IST on U.S. business days,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
