requirement_id,source_file,source_section,requirement,status,merge_milestone,hybrid_reference,backend_module,api_route,frontend_location,test_ids,decision,reason,evidence_level,product_scope,priority,last_verified
Q5-R0,new_merge_PLAN_2026-07-18.md,24.13,Contract freeze docs only,IMPLEMENTED,Q5-R0,,docs,,,,KEEP,Q5 research/fixture ceiling,DOCUMENTED,RESEARCH,P0,2026-07-20
Q5-R1,new_merge_PLAN_2026-07-18.md,24.13,Source identity PIT four-state fixture,IMPLEMENTED,Q5-R1,,selection/contracts.py fixtures.py,GET /api/v1/selection/fixtures/q5-r1,q5-contract.js,test_q5_selection_contracts.py,KEEP,Q5 research/fixture ceiling,OBSERVED_RUNTIME,RESEARCH,P0,2026-07-20
Q5-R2,new_merge_PLAN_2026-07-18.md,24.13,Family resolver zero corroboration,IMPLEMENTED,Q5-R2,,selection/resolver.py r2_fixtures.py,GET /api/v1/selection/fixtures/q5-r2,,test_q5_family_resolver.py,KEEP,Q5 research/fixture ceiling,OBSERVED_RUNTIME,RESEARCH,P0,2026-07-20
Q5-R3,new_merge_PLAN_2026-07-18.md,24.13,Closed-bar structure EOD CONFIRMED fixture,IMPLEMENTED,Q5-R3,,selection/structure.py r3_fixtures.py,GET /api/v1/selection/fixtures/q5-r3,,test_q5_closed_bar_structure.py,KEEP,Q5 research/fixture ceiling,OBSERVED_RUNTIME,RESEARCH,P0,2026-07-20
Q5-R4,new_merge_PLAN_2026-07-18.md,24.13,Enrichment MCX options gates,IMPLEMENTED,Q5-R4,,enrichment.py mcx_contracts.py options_domain.py,GET /api/v1/selection/fixtures/q5-r4,,test_q5_bounded_enrichment.py,KEEP,Q5 research/fixture ceiling,OBSERVED_RUNTIME,RESEARCH,P0,2026-07-20
Q5-R5,new_merge_PLAN_2026-07-18.md,24.13,Offline PK harness zero authority,IMPLEMENTED,Q5-R5,,scanners/pk_compatibility.py,CLI only,,test_q5_pk_compatibility.py,KEEP,Q5 research/fixture ceiling,TESTED_OFFLINE,RESEARCH,P0,2026-07-20
Q5-R6,new_merge_PLAN_2026-07-18.md,24.13,Inspector history PIT drift,IMPLEMENTED,Q5-R6,,history_validation.py pit_path.py r6_fixtures.py,GET /api/v1/selection/fixtures/q5-r6,index.html inspector,test_q5_history_validation.py,KEEP,Q5 research/fixture ceiling,OBSERVED_RUNTIME,RESEARCH,P0,2026-07-20
Q5-R7,new_merge_PLAN_2026-07-18.md,24.13,OpenAlgo RO capability boundary,IMPLEMENTED,Q5-R7,,openalgo_client.py,GET /api/v1/integrations/openalgo/capability,,test_q5_openalgo_boundary.py,KEEP,Q5 research/fixture ceiling,OBSERVED_RUNTIME,RESEARCH,P0,2026-07-20
R0,new_merge_PLAN_2026-07-18.md,15,Contract freeze residuals inventory pin lint,PARTIAL,R0,Hybrid 16.3-16.6,source_inventory_compiler.py; source_cohort_r0c.py; source_contracts.py; feature_registry.py; indicator_engine.py; backend/trendforge_api/source_contracts.py,GET /api/source-inventory/compiler-report; GET /api/source-inventory/r0c-cohort; GET /api/v1/selection/feature-registry; GET /api/v1/selection/feature-registry/lint,,test_r0c_source_cohort.py,KEEP,"Feature and engine contracts pass; H1A0 is 6/6; R0-C now partitions the complete compiler remainder and exposes it read-only with every member quarantined and zero-authority. Source-specific extended fields, maturity transition history, unresolved mirror/resolver proof and live activation remain separate residuals",TESTED_OFFLINE,RESEARCH,P0,2026-09-02
R1,new_merge_PLAN_2026-07-18.md,15,Selection DTO radar,IMPLEMENTED,R1,Hybrid 9,backend/trendforge_api/selection/inventory_source_bundle.py; backend/trendforge_api/selection/store.py; backend/trendforge_api/selection/cash_post_commit.py,GET /api/v1/selection/evidence,,test_inventory_source_bundle.py,KEEP,Live 123-contract cadence-aware evidence DTO is persisted fail-closed at WATCH/WAIT/REJECT ceiling,OBSERVED_RUNTIME,RESEARCH,P0,2026-08-16
R2,new_merge_PLAN_2026-07-18.md,15,Live S0-S3 cheap pipeline,IMPLEMENTED,R2,Hybrid 5 16.7,backend/trendforge_api/selection/attention_order.py; backend/trendforge_api/selection/cash_post_commit.py,GET /api/v1/selection/attention,,test_attention_order.py,KEEP,"Live 2,463-row attention order is cadence-gated; non-current rows cannot rank and no CONFIRMED or geometry exists",OBSERVED_RUNTIME,RESEARCH,P0,2026-08-16
R3,new_merge_PLAN_2026-07-18.md,15,Family resolver,IMPLEMENTED,R3,Hybrid 16.9,selection/r3_claim_adapter.py; selection/r3_live.py; selection/resolver.py; selection/cash_post_commit.py,GET /api/v1/selection/resolution,,test_cash_post_commit_pipeline.py,KEEP,"FTR-040 binds only exact current NSE EOD cash facts to PARTICIPATION; R3 is hash-scoped, anti-double-counted, immutable over R2 and capped at WAIT with no geometry or execution",OBSERVED_RUNTIME,RESEARCH,P0,2026-08-16
R4,new_merge_PLAN_2026-07-18.md,15,PK pin delist fixtures,PARTIAL,R4,,scanners/pk_compatibility.py,CLI,,test_q5_pk_compatibility,KEEP,Delist set incomplete,TESTED_OFFLINE,RESEARCH,P1,2026-07-20
R5,new_merge_PLAN_2026-07-18.md,15,Structure pack first CONFIRMED,IMPLEMENTED,R5,Hybrid 16.8,selection/structure.py,GET /api/v1/selection/fixtures/q5-r3,,test_q5_closed_bar_structure.py,KEEP,Maps Q5-R3 fixture,OBSERVED_RUNTIME,RESEARCH,P0,2026-07-20
R6,new_merge_PLAN_2026-07-18.md,15,Shortlist enrichment live,PARTIAL,R6,Hybrid 16.7,selection/enrichment.py,q5-r4,,test_q5_bounded_enrichment,KEEP,Live wiring incomplete,TESTED_OFFLINE,RESEARCH,P1,2026-07-20
R7,new_merge_PLAN_2026-07-18.md,15,PK shadow CLI,IMPLEMENTED,R7,,scanners/,CLI,,test_q5_pk_compatibility,KEEP,Maps Q5-R5,TESTED_OFFLINE,RESEARCH,P0,2026-07-20
R8,new_merge_PLAN_2026-07-18.md,15,Native core scanner registry,IMPLEMENTED,R8,Hybrid 16.8,scanners/registry.py + scanners/native_core.py + main.py routes,native-core.js #nativeCorePanel,,test_r8_native_core,KEEP,Wraps R5 FTR-006/007/017 claims; one representative per group (FUS-009); PK shadow isolated; confirmedCount pinned 0; S3 nativeCoreMatches rank-safe,TESTED_OFFLINE,RESEARCH,P1,2026-08-26
R9,new_merge_PLAN_2026-07-18.md,15,Lifecycle ORB VWAP,PARTIAL,R9,Hybrid 16.8,history_validation.py; backend/trendforge_api/selection/history_validation.py,q5-r6,,,KEEP,ORB/VWAP needs live bars,CODE_PRESENT,RESEARCH,P2,2026-07-20
R10,new_merge_PLAN_2026-07-18.md,15,Pipe DSL,IMPLEMENTED,R10,Hybrid 16.9,scanners/pipe_dsl.py + main.py routes,pipes.js #pipeLabPanel,,test_r10_pipes,KEEP,FUS-010 zero-claim composition over R8 native cores; UNION/INTERSECTION/FILTER_STATE/ENRICH_S7; invalid stage fails run; deterministic stage counts; twins cannot inflate,TESTED_OFFLINE,RESEARCH,P2,2026-08-26
R11,new_merge_PLAN_2026-07-18.md,15,Swing RS delivery MCX master live,PARTIAL,R11,Hybrid 16.7 MCX,mcx_contracts.py + selection/r11_mcx_live.py + main.py routes,mcx-master.js #mcxMasterPanel,,test_r11_mcx_live.py,KEEP,Readiness board live (WAIT without official master+local bars; tender veto; FBIL/CFTC context-only); PRF-005/006/007 profiles still empty until named MCX activation,TESTED_OFFLINE,RESEARCH,P1,2026-08-26
R12,new_merge_PLAN_2026-07-18.md,15,Options timeline API,PARTIAL,R12,Hybrid 16.8,options_domain.py,q5-r4,,test_q5_bounded_enrichment.py,KEEP,No production timeline API,TESTED_OFFLINE,RESEARCH,P1,2026-07-20
R13,new_merge_PLAN_2026-07-18.md,15,Remaining scanners,IMPLEMENTED,R13,Hybrid 16.8,scanners/registry.py + native_core.py + native_extended.py + r5_live.py + s8_persist_run.py + scan_orchestrator.py (chips-only),GET /api/v1/scanners/native-core,scanner-lab.js #scannerLabPanel; native-core.js #nativeCorePanel,test_r13_remaining_scanners.py,KEEP,Pinned VCP/TTM/trend/Wilder-RSI/reversal/extremes guidance over adjusted closed hash-matched PIT bars; one bulk query; separate claimless representatives with inspectable suppression; S8 native hash attachment; zero claims/confirmation/state/rank/direction mutations; R9 remains skipped; stored pre-closure S8 honestly WAIT_S8_LINEAGE,OBSERVED_RUNTIME,RESEARCH,P2,2026-08-27
R14,new_merge_PLAN_2026-07-18.md,15,CA sponsor PK reconcile,PARTIAL,R14,Hybrid 18.6 19.8,corporate_actions.py; backend/trendforge_api/corporate_actions.py,,,,KEEP,Not full PK join,CODE_PRESENT,RESEARCH,P2,2026-07-20
R15,new_merge_PLAN_2026-07-18.md,15,Scanner Lab UI,PARTIAL,R15,,scanners/lab-bundle route in main.py,scanner-lab.js #scannerLabPanel (inspector tab) + #pipeLabPanel + #nativeCorePanel,scanner-lab.js #scannerLabPanel (inspector tab); pipes.js #pipeLabPanel; native-core.js #nativeCorePanel,test_r15_lab.py,KEEP,"Lab tab DONE 2026-08-25 (definitions, pipe flow, symbol drill-down, PK parity chips; radar columns frozen; refresh=GET). Full FMR-009/011 workspace layout still open",TESTED_OFFLINE,RESEARCH,P2,2026-08-25
R16,new_merge_PLAN_2026-07-18.md,15,PIT before performance UI,IMPLEMENTED,R16,Hybrid 15.5 16.11; File A 25.28,selection/s8_service.py + r16_pit.py + r16_metrics.py + r16_store.py + r16_service.py; backend/trendforge_api/selection/s8_service.py; backend/trendforge_api/selection/r16_pit.py; backend/trendforge_api/selection/r16_metrics.py; backend/trendforge_api/selection/r16_store.py; backend/trendforge_api/selection/r16_service.py,GET /api/v1/selection/pit/status,frontend/r16-pit-validation.js,test_r16_pit.py; backend/tests/test_r16_pit.py,KEEP,"R16 v1 code, 0013 migration and populated idempotent replay are verified; one real S8 date keeps PIT_NOT_APPROVED, and rendered browser inspection remains a tooling caveat",OBSERVED_RUNTIME,RESEARCH,P1,2026-08-29
R17,new_merge_PLAN_2026-07-18.md,15,OpenAlgo live RO shadow,PARTIAL,R17,Hybrid 16.13 15.2,openalgo_client.py,GET /api/v1/integrations/openalgo/capability,,test_q5_openalgo_boundary.py,KEEP,ABSENT boundary observed; no live feed,OBSERVED_RUNTIME,RESEARCH,P2,2026-07-20
R18,new_merge_PLAN_2026-07-18.md,15,Model governance upgrades,PARTIAL,R18,Hybrid 15.5,drift contracts,,,,KEEP,Contracts only,DOCUMENTED,RESEARCH,P3,2026-07-20
CROSS-001,new_merge_PLAN_2026-07-18.md,25.5,Inventory compiler H1A0 defects,IMPLEMENTED,R0,Hybrid 16.4,source_inventory_compiler.py; source_overlap_resolutions.py; backend/trendforge_api/source_inventory_compiler.py; backend/trendforge_api/source_overlap_resolutions.py; backend/trendforge_api/source_registry_contracts.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,LINK_TO_B,"Compiler exposes all 11 Hybrid defect classes, preserves 370-row lineage, binds 29 current overlap groups to exact reviewed typed dispositions, and passes H1A0 6/6 with zero unexplained, invalid or stale resolutions",OBSERVED_RUNTIME,RESEARCH,P0,2026-07-23
CROSS-002,new_merge_PLAN_2026-07-18.md,25.5,Current living source-key map and endpoint dispositions,IMPLEMENTED,R0/R2,Hybrid 16.6 18.4,source_inventory_compiler.py; source_key_map_review.py; backend/trendforge_api/source_inventory_compiler.py; backend/trendforge_api/source_key_map_review.py; backend/trendforge_api/source_registry_contracts.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,LINK_TO_B,"Compiler machine-enforces the current reviewed 118 inventory plus 74 runtime key sets as a 129-key union, keeps 197 generated identities as endpoint lineage, dispositions all 351 endpoints, and grants no gate authority",TESTED_OFFLINE,RESEARCH,P0,2026-07-20
CROSS-003,new_merge_PLAN_2026-07-18.md,25.5,J01-J14 decision jobs,IMPLEMENTED,R0,Hybrid 19.2,source_inventory_compiler.py; backend/trendforge_api/source_inventory_compiler.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,ADD,"All J01-J14 jobs are typed, exposed through the compiler API and assigned to compiled contracts without execution authority",OBSERVED_RUNTIME,RESEARCH,P0,2026-07-22
CROSS-004,new_merge_PLAN_2026-07-18.md,25.5,PRF named mandatory sources,IMPLEMENTED,R2/R6,Hybrid 16.7,selection/profile_source_contracts.py; backend/trendforge_api/selection/profile_source_contracts.py,,,backend/tests/test_profile_source_contracts.py,LINK_TO_B,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P0,2026-09-02
CROSS-005,new_merge_PLAN_2026-07-18.md,25.5,Priority activation backlog 1-20,PLANNED,R2,Hybrid 16.16,source activation,,,,LINK_TO_B,Dual-file CROSS pointer,DOCUMENTED,RESEARCH,P1,2026-07-20
CROSS-006,new_merge_PLAN_2026-07-18.md,25.5,Maturity ladder stage counts,PARTIAL,R0,Hybrid 16.3,source_inventory_compiler.py; backend/trendforge_api/source_inventory_compiler.py; backend/trendforge_api/source_registry_contracts.py; backend/trendforge_api/source_monitor.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,ADD,"The ten-state ladder and counts are compiled fail-closed, but the source-health UI has not yet migrated to this contract",TESTED_OFFLINE,RESEARCH,P0,2026-07-20
CROSS-007,new_merge_PLAN_2026-07-18.md,25.5,dataset_root transport mirror fields,PARTIAL,R0,Hybrid 18.4,source_inventory_compiler.py; backend/trendforge_api/source_inventory_compiler.py; backend/trendforge_api/source_registry_contracts.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,ADD,"Dataset-root fields exist, but mirror/resolver identities and authority caps remain explicitly UNSPECIFIED pending source-by-source proof",TESTED_OFFLINE,RESEARCH,P0,2026-07-20
CROSS-008,new_merge_PLAN_2026-07-18.md,25.5,nse_fno_ban vs mwpl split,IMPLEMENTED,R0/R6,Hybrid 19.4,parsers/nse_mwpl_parser.py; gate_readiness.py; source_inventory_compiler.py; backend/trendforge_api/parsers/nse_mwpl_parser.py; backend/trendforge_api/gate_readiness.py; backend/trendforge_api/source_inventory_compiler.py,GET /api/gates/readiness; POST /api/source-parser/run; GET /api/source-inventory/compiler-report,,test_source_contract_hardening.py,IMPROVE,"Canonical ban and percentage contracts are separate; ban is a hard veto, missing percentages remain WAIT_MWPL_PERCENTAGES",TESTED_OFFLINE,RESEARCH,P0,2026-07-20
CROSS-009,new_merge_PLAN_2026-07-18.md,25.5,FBIL vs live USD/INR,PARTIAL,R11,Hybrid 19.5,commodity_context; backend/trendforge_api/commodity_context.py,,,,IMPROVE,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P1,2026-07-20
CROSS-010,new_merge_PLAN_2026-07-18.md,25.5,Two-speed four lanes,PLANNED,R17,Hybrid 15.2,source_scheduler,,,,LINK_TO_B,Dual-file CROSS pointer,DOCUMENTED,RESEARCH,P1,2026-07-20
CROSS-011,new_merge_PLAN_2026-07-18.md,25.5,Trust-producing combinations,PLANNED,FUS,Hybrid 15.4,,,,,LINK_TO_B,Dual-file CROSS pointer,DOCUMENTED,RESEARCH,P2,2026-07-20
CROSS-012,new_merge_PLAN_2026-07-18.md,25.5,Per-source recovery SM,PARTIAL,ops,Hybrid 16.12,source_monitor; backend/trendforge_api/source_monitor.py,,,,LINK_TO_B,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P1,2026-07-20
CROSS-013,new_merge_PLAN_2026-07-18.md,25.5,Four E2E vertical slices,PLANNED,delivery,Hybrid 16.17,,,,,LINK_TO_B,Dual-file CROSS pointer,DOCUMENTED,RESEARCH,P1,2026-07-20
CROSS-014,new_merge_PLAN_2026-07-18.md,25.5,Legacy scorer FUS-008,PARTIAL,R0/Q5,Hybrid 16.10 19.11,intraday_stock_details.py; backend/trendforge_api/intraday_stock_details.py,,,,IMPROVE,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P0,2026-07-20
